SubjID,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
sub-017,3288,4547,4178,5280,3656,4562,4145,6576,4037,6530,2522,5305,3958,7061,9080,9406,3777,6258,2084,3107,3502,5270,5892,3928,4520,3803,4891,5267,2185,5012,9882,16442,9428,4304,7402,2084,1829,10433,4763,4808,9576,3708,6699,8121,7205,11600,3148,4218,2362,6716,6269,7046,9376,8247,3843,4314,5026,5289,6933,2542,3931,3779,1599,4211,3041,7747,5555,4256,3675,5457,4082,7695,4135,4627,4076,7370,2738,5524,9899,19681,4021,3466,9401,5039,5984,5952,2159,4609,4445,4521,10306,5794,5760,4682,3906,8292,10225,5804,2445,4514,
sub-019,2766,2950,2670,3748,3210,2869,3174,4874,3258,4940,1777,3335,3441,6477,7097,7358,2562,5570,1956,2201,3027,4276,4797,3302,3698,2853,4461,4484,1790,3094,8232,12967,7019,3863,6486,1453,1726,7218,3623,3185,7790,2607,7053,5851,6106,9812,3162,3303,1503,4143,4301,4611,7473,5261,3537,3168,3723,4128,5243,1867,2355,2461,1653,4169,1775,6494,4424,2079,2706,4909,3545,4529,5338,3868,2957,6120,1967,4733,7508,15883,3324,2752,7747,3868,4826,3758,1695,3431,3448,3831,7514,4376,4886,3474,3751,5617,8455,4922,1770,3532,
sub-02,3702,4646,3473,5955,2908,3460,5383,5742,3052,5863,1994,4961,4749,7664,9584,12088,3070,7272,2287,3408,3555,5323,5785,3676,4750,3394,4853,5759,2480,3957,9925,15723,10488,5030,6938,1586,2054,9684,4501,4824,10928,3415,7118,8055,7729,10501,3262,4665,1702,5253,6368,7472,10779,7937,4448,5114,4131,5815,7286,2160,3101,3146,1252,5163,2702,8464,6378,3125,3570,4868,4401,5673,5636,4462,3720,7805,2635,7134,9260,16589,5221,4001,7742,5211,4969,4396,2047,5536,4825,5983,8778,7082,6137,4057,4700,7582,10344,5105,2708,5359,
sub-020,3026,3260,3060,3964,2504,2618,3867,5318,2808,4855,2257,3607,4024,6598,8734,8475,2634,6307,1509,2764,2681,4544,5615,4173,3740,3510,3615,5076,2153,3805,7620,13045,7131,3657,6180,1645,1836,7595,3121,3336,9252,2508,6496,6000,5504,9046,2799,2747,1685,4479,4762,4390,6965,5455,3449,3410,3452,3473,5853,2167,2700,3699,1657,4349,2222,6765,4625,3264,3037,4987,3577,5008,5122,4235,3556,5502,2710,5161,8279,15062,3561,3865,6554,3772,4839,3285,1766,4022,4016,3113,8137,4201,4833,3328,3207,5780,7698,5123,1716,3951,
sub-021,2579,4234,3051,4551,2270,2600,3351,5433,3158,3604,1695,3340,3004,6019,6976,8978,2336,5315,1612,2484,2406,3912,4211,2297,3183,2675,3182,4215,1739,2345,7102,11675,6579,3065,4942,1648,1830,6826,3339,2782,7936,2073,5448,6004,5083,7716,2276,2518,1613,4817,4154,6026,7433,5919,2297,2957,4419,3852,4235,1842,2483,2096,1042,3334,2156,5153,5521,2067,2398,5668,3765,3958,3732,2822,2568,5240,2615,4351,7106,13703,2047,3884,6490,3332,3867,3308,1875,3381,3427,2837,7823,3607,4371,3127,3066,5812,7063,3483,1416,3490,
sub-022,3240,4445,3953,5006,2905,2753,4928,6022,3437,5728,1979,4271,4965,6769,8004,11254,3696,6846,2742,3553,2327,4739,4804,3906,4128,3204,5299,5919,2531,3582,9468,16189,8333,5956,6429,1628,2650,7658,4517,4625,12721,2766,6675,8483,7999,11523,3444,3271,1970,6070,6526,6839,10708,8234,3469,3561,5380,4768,6377,2363,3427,3882,1816,5298,2451,6903,7556,4381,2351,5208,3509,6512,4171,3524,5086,5883,2988,5101,9687,16359,3777,4625,9012,4119,6788,5650,2656,5109,4151,3788,9471,5428,5119,3869,3780,8365,9943,5308,2003,4302,
sub-023,2970,4197,3586,4250,2499,2954,3958,6484,3811,5520,2106,3843,3993,6607,8134,9169,2623,6824,1827,2521,2654,4168,4909,2777,4377,3312,4587,5974,2052,3216,8214,13380,8057,3744,6524,1812,2013,8962,3952,3621,9554,2958,6928,6609,5920,8426,3225,3944,2135,4864,5509,6263,8747,6128,3334,3425,4805,4102,6225,2104,2949,2717,1437,4460,2220,6728,5127,2598,2558,4716,3912,5536,4411,3554,3404,6178,2379,5003,9300,15457,3417,4217,7477,4549,4583,4416,2138,4385,3631,3559,8648,4925,5758,4421,3716,7380,7267,4387,1874,4132,
sub-025,3075,3703,3883,3897,2634,3890,3380,5955,3812,6379,2303,4167,4296,7381,9177,8008,2992,6567,2555,2549,3296,4074,7130,3250,4379,3540,4817,5462,1932,4578,8346,15360,8940,4232,6210,2081,1739,8978,4257,3615,8763,2986,7099,7749,6486,9713,3443,3863,2330,5620,5045,5923,8142,5880,3906,4223,2845,4111,6398,2489,3211,3534,1964,4889,2371,7811,4477,3040,3696,5114,4646,6501,4748,4175,3911,6400,2322,5771,9490,17400,3604,3446,7986,3946,6105,5395,1905,4714,3963,3743,9032,5128,5564,3500,3588,7647,9367,5471,1940,4083,
sub-026,3281,4712,3971,4587,3142,3831,4135,6098,3707,7440,2553,5290,5195,7210,9005,9270,4411,6500,2067,2877,3061,5010,4775,4127,4777,3861,5329,6881,2722,4638,9088,18867,6699,4643,7543,1464,2583,8970,3897,5096,11017,3292,7799,7263,7193,11995,3723,3974,2393,6342,5976,6136,10233,7182,4283,4783,4472,4545,7192,2250,3539,2809,2052,4389,1995,8945,5810,3177,2957,5857,3133,6689,5395,4436,4718,8072,2854,6017,10000,19368,4075,4651,8196,6571,5956,4808,2518,5463,4368,5101,10141,6336,5826,4176,5863,7784,9841,5214,2279,4439,
sub-027,2902,3685,3741,4171,3055,3005,3948,6275,3785,5971,2610,4780,5211,8578,9079,9409,3008,5931,1851,2470,3035,4821,5983,3016,4558,3582,4299,5897,2309,3563,8929,14132,8502,3323,6010,1929,2303,8712,4108,3404,8948,2679,6909,7158,6596,10907,3476,3957,1978,4940,5171,5460,8732,6609,3899,3874,4632,4595,6466,2450,3457,3478,1937,6028,2424,8964,5337,3619,2004,5321,4145,5460,5236,3623,3656,6781,2956,5850,9166,15847,2752,3865,8496,4797,5231,4298,2532,4599,4039,4533,7806,5052,5817,3500,3804,7160,8907,4057,2023,3840,
sub-028,3179,4999,4541,5684,3589,5105,4462,6010,5128,6370,2280,4788,3550,6677,7918,10966,2986,5582,1789,2200,2278,6408,5519,3879,4364,3851,4105,5414,2161,3895,10167,14193,7875,4019,7332,1922,1929,9897,4799,4365,10325,2846,7500,7758,7995,11612,3857,3611,2715,4795,5310,7882,10778,8914,4136,5362,4093,5743,6431,2369,3366,3017,1413,4511,2334,8031,5896,2768,3635,4701,3817,6790,4626,4361,3426,7389,2791,5728,9800,16588,3648,3778,9110,5515,5931,5449,1911,4089,3686,4564,9694,5017,6533,4188,4456,8111,10196,5645,2161,3894,
sub-029,3206,5491,3909,5649,3744,3631,4918,5718,4476,6323,2155,4586,3800,6205,8288,10027,2570,6187,1898,2514,2655,4207,5402,3543,4307,4094,6188,5364,2166,3550,9871,12739,8062,5124,7841,1700,1883,9758,4256,4164,10244,3301,8475,7740,7977,13861,2539,4267,2159,6133,5826,7074,10743,8111,3819,4593,4957,4540,6326,2441,3251,3111,1469,5134,2806,8216,7533,2656,2456,5179,3839,5688,5924,3721,4132,7405,2630,5763,9979,15583,2901,4207,8733,5521,6461,5001,2268,5046,4402,4363,9560,4653,5429,4361,4456,8160,10113,6402,2372,4841,
sub-032,3042,4515,4053,4503,3480,4808,4410,5806,4093,6570,2081,4145,4283,7796,8124,10993,2296,5479,1745,2084,2186,4817,5986,4681,3976,3415,4807,5878,2105,3964,9041,11719,7901,3780,5964,1165,2005,9658,4117,4510,11766,2953,7142,6699,6296,10430,3808,4134,2521,4714,5914,6632,8657,6608,4435,4782,4366,4762,6723,2200,3443,3103,1608,4275,1899,7699,6136,2738,2947,5068,3211,5677,5071,4168,3596,6907,2559,5878,8816,14590,3450,3856,7587,4169,5293,4305,2289,4751,3603,4343,9788,4734,6165,3789,3938,6622,8632,4884,2153,3837,
sub-033,2741,3836,3175,3360,2728,2880,4469,5249,2705,4661,2017,3586,3818,6137,8241,9312,2139,6232,1764,3143,2418,3917,5164,2437,3869,2363,3672,4629,2039,3754,7672,13575,8279,4163,5407,1670,1896,9229,3497,3713,10548,2463,6471,6370,5266,8757,2890,3213,1621,5564,5194,6046,8421,5867,3254,3582,4218,3616,4924,2083,2706,2684,1307,3992,2108,6897,6488,3054,3293,5116,3861,5512,4588,3873,3496,5453,2711,4861,7520,16086,3406,4440,7098,3833,4029,4054,1983,4391,3683,3508,8702,4435,5206,3392,3241,5770,8734,4096,1744,3601,
sub-035,2798,3721,3448,3977,2634,2901,2717,4558,3091,5540,2031,3848,3832,6679,7468,7377,2656,5409,1821,2353,3487,4370,5096,3375,3813,2924,3419,4323,1824,3491,7185,11956,5821,3384,4493,2058,1326,7235,3279,2903,7362,2297,5386,5963,5617,9172,3383,3500,1611,4534,4956,5872,7047,6598,2817,2842,3336,3923,5061,1972,2328,2774,1527,4840,2636,7082,4454,2751,2617,4427,3849,5226,4667,2711,2951,5435,2212,5018,6970,14255,2674,3104,6404,2991,3897,4041,1176,3889,3378,3105,7276,4524,4192,2774,3099,5992,8021,4322,1589,3051,
sub-036,3260,3563,3723,4342,3525,4108,3895,5811,3366,5888,2194,4933,3974,5715,10590,8996,3605,6997,2442,2980,3403,4471,5354,5953,4081,3887,4479,6133,2666,3980,10629,14781,8767,5077,8983,1986,2660,9964,4579,3833,9507,3099,7451,7286,6899,11761,3406,3762,2520,6192,5198,4507,7746,7189,4164,4707,4585,4487,6426,2307,3440,3565,1759,5098,2519,7782,5024,4091,4459,5512,4510,6513,5260,4014,4667,7240,3479,6234,10048,18701,4141,3656,8371,5916,5846,5050,2186,5315,4243,2746,10322,5219,6143,4215,4472,8296,9790,4963,2310,5076,
sub-038,2869,3853,2955,3711,3608,3678,3589,4825,3024,5144,2051,4511,4384,7170,8087,8732,3071,5544,2155,2777,3544,5925,4926,3580,3593,3118,3105,5619,2242,2881,8800,14594,8037,4985,6095,1883,1778,7665,3437,3857,9293,2612,6635,6584,6400,8247,2886,2745,1992,5501,4777,5655,7551,6037,3995,4659,4000,4123,5805,2410,3051,3429,1732,4326,2815,6333,4882,3358,2401,5433,3914,8008,3954,3864,4185,6009,2483,4486,9045,16650,3600,3516,6911,5142,4730,4400,1658,4390,4184,3756,8421,4292,5139,3183,3285,6457,7884,3395,2112,4799,
sub-039,3666,4383,3581,5574,3554,3712,4223,5519,3155,4936,1879,4338,4313,5399,7429,11161,2555,5606,1462,2255,2454,4448,4291,3128,3776,3133,5053,4097,1714,3114,8747,15614,8643,3635,6840,1484,1651,8597,3483,3725,9658,2794,6657,7142,7257,10690,2393,2999,2152,5210,5678,5297,8274,7134,4190,3907,3645,4060,5381,2072,2439,2898,1656,3656,2065,6870,5977,2369,3879,4903,3221,5216,4156,3663,2476,6250,2458,4595,9231,18325,3221,4024,8524,3887,5243,4058,1669,4335,3584,4233,8258,4418,5094,3676,4201,7430,9001,4322,1946,3461,
sub-04,2452,4078,3143,3825,2402,2438,3136,5029,2673,4043,1833,3908,3281,5671,5882,6628,2310,5311,1398,2144,2760,4606,4697,2921,3021,2853,2824,4793,1859,2565,6968,10958,5492,3230,4597,1357,1803,6976,2894,3054,7484,2306,5450,5422,5867,7481,2493,2706,1484,4469,3860,5946,6262,6428,3497,4220,3717,3929,4908,1725,2479,2520,1286,4055,2003,5583,3869,2398,2031,4176,2955,5462,3437,3450,2490,4969,2160,3788,6980,13488,2783,2881,6674,4061,3522,3158,1718,3711,3026,3184,7022,4006,4069,3283,3218,5844,6647,3669,1766,3549,
sub-040,2570,4024,3559,3757,2433,2206,4251,4649,2597,4865,2068,3796,3821,7156,7821,9150,2672,6318,2355,2928,2988,4333,5869,2952,3452,3120,4496,5168,2320,4112,8572,11573,7188,4513,5836,1717,1802,8186,4319,3405,8962,2390,6270,6364,5412,9069,3416,3941,1516,5363,5090,5684,7277,5074,2713,2903,3236,3606,5503,1903,2437,3540,1710,4415,2345,6069,4800,2825,3421,5007,3982,5624,4582,3586,2841,5199,2351,5221,8883,15552,4193,3882,7381,2999,5067,5375,1742,4466,4390,5177,7661,4534,5099,3068,2968,7043,8887,4574,1556,4470,
sub-042,3065,3849,3697,4397,2555,3413,3642,5566,3404,4318,2024,4456,4273,4878,7150,8802,2396,6377,1674,2998,2847,4596,4729,2643,3576,3100,3375,5186,2022,3157,8633,14521,6585,5307,5766,1827,1920,6397,3077,3051,9887,2579,5381,6980,6439,8349,3201,3231,2008,4997,4934,5478,7319,7417,2934,4408,3865,4378,5663,2319,2594,2796,2148,4987,2124,6420,5997,2582,2119,5267,3186,4730,5206,2616,2940,6201,2350,5642,8490,16966,3096,3515,7456,3827,4556,3154,1901,4443,4062,4243,7128,3742,3857,3574,3146,6930,7243,3796,2206,3700,
sub-043,3037,5548,4021,5082,2588,3254,4735,6663,3712,6081,2351,5724,4663,7026,8394,9957,3728,6395,1889,3143,2720,5600,4684,3966,4408,3694,3865,5331,2429,4181,9413,12585,7797,4470,6244,1735,1753,8470,4114,4691,12152,3186,7879,7900,6947,11397,2389,2578,1679,5721,5450,7509,9277,8098,3786,4370,5342,5172,7362,2391,3626,2901,1756,5030,2326,7304,5329,2807,2211,5058,4128,5826,4412,4355,4013,7170,2184,6180,9561,15168,3902,4085,8997,4486,4870,3357,759,4714,4182,3904,8424,4729,5612,3923,4751,7107,8758,3924,1801,4201,
sub-045,3505,5528,5089,5069,4031,3335,3564,5780,3192,6542,2378,5131,3990,6756,7460,10285,3320,6833,2530,3201,3003,4467,4733,5201,5202,3996,6237,5878,2709,3983,9326,13654,8263,5537,9168,1441,2419,11738,5065,4670,9847,3101,7903,7899,7596,12152,2507,3836,1880,6103,5855,6796,10590,7702,4185,3992,4428,4355,7039,2803,3774,3184,2171,5138,2295,6976,7279,3471,3644,5039,3755,5459,5027,3708,5317,8434,2808,6236,9735,18693,3009,4351,8271,5526,7113,4718,2422,5141,3802,4463,10041,5169,6802,3677,4548,8217,10273,6368,2007,4903,
